,0
2014-03-27,154664167.29403055
2014-03-28,155342832.16153055
2014-03-31,156570985.54253057
2014-04-01,157620371.7005306
2014-04-02,158065883.22053057
2014-04-03,156035237.18053058
2014-04-04,154076873.06463057
2014-04-07,152546883.51223055
2014-04-08,153123723.55213058
2014-04-09,154774956.28753057
2014-04-10,151597096.93253058
2014-04-11,150251169.11123058
2014-04-14,151484369.0075306
2014-04-15,152472823.87323055
2014-04-16,154032145.9575306
2014-04-17,154301273.27753055
2014-04-21,154914423.84753057
2014-04-22,155527676.06613055
2014-04-23,155152190.2321306
2014-04-24,155468605.82513058
2014-04-25,154199324.38513058
2014-04-28,154834463.77513057
2014-04-29,155596536.68013054
2014-04-30,156016978.21513054
2014-05-01,155976591.61313057
2014-05-02,155756518.75013056
2014-05-05,156042542.92513058
2014-05-06,154555330.17013058
2014-05-07,155560719.35013056
2014-05-08,155372530.4331306
2014-05-09,155643532.46763057
2014-05-12,157096733.5526306
2014-05-13,157246697.98263055
2014-05-14,156569070.12933058
2014-05-15,155108677.7016306
2014-05-16,155663191.60603058
2014-05-19,156276362.98263055
2014-05-20,155252515.29763058
2014-05-21,156547426.18763056
2014-05-22,156874500.86763054
2014-05-23,157497892.9006306
2014-05-27,158430044.66763058
2014-05-28,158302688.58763057
2014-05-29,159161761.7461306
2014-05-30,159449836.3701306
2014-06-02,159529398.40013057
2014-06-03,159501320.48513058
2014-06-04,159808460.58263057
2014-06-05,160841172.93863058
2014-06-06,161559448.23013058
2014-06-09,161686613.36013055
2014-06-10,161711100.07013056
2014-06-11,161122431.85113057
2014-06-12,159965730.95173055
2014-06-13,160489911.8801306
2014-06-16,160594504.89013058
2014-06-17,160930314.34513056
2014-06-18,162160440.6901306
2014-06-19,162352139.06413054
2014-06-20,162559682.4501306
2014-06-23,162598347.2201306
2014-06-24,161597023.01013058
2014-06-25,162293128.56013057
2014-06-26,162093717.67013058
2014-06-27,162401544.7471306
2014-06-30,162352591.35213056
2014-07-01,163537202.88153058
2014-07-02,163671788.87213054
2014-07-03,164555763.20313054
2014-07-07,164014964.69913056
2014-07-08,162906572.03513056
2014-07-09,163626107.48913056
2014-07-10,162983503.02163053
2014-07-11,163274696.13163057
2014-07-14,164136881.52843055
2014-07-15,163911742.18163055
2014-07-16,164624862.92443058
2014-07-17,162764990.30533054
2014-07-18,164363347.51523057
2014-07-21,163991268.74913055
2014-07-22,164832297.42013055
2014-07-23,165248180.06693053
2014-07-24,165322831.79993054
2014-07-25,164507050.76693055
2014-07-28,164561139.20293057
2014-07-29,163829636.87293056
2014-07-30,163921247.91593054
2014-07-31,160666618.13503057
2014-08-01,160110946.65893057
2014-08-04,161254030.69893053
2014-08-05,159709678.77893052
2014-08-06,159858785.14133057
2014-08-07,159071868.45893055
2014-08-08,160801901.39893055
2014-08-11,161303968.07893056
2014-08-12,161102239.37893057
2014-08-13,162193683.21393055
2014-08-14,162856754.19993055
2014-08-15,162794792.42893055
2014-08-18,164222986.97693056
2014-08-19,165039771.78693056
2014-08-20,165441959.15793055
2014-08-21,166025896.47193053
2014-08-22,165714016.99193054
2014-08-25,166543293.83193058
2014-08-26,166736448.96803057
2014-08-27,166801550.40743056
2014-08-28,166486659.61243057
2014-08-29,167009784.18743053
2014-09-02,166917085.81743056
2014-09-03,166764039.33243057
2014-09-04,166590090.46743056
2014-09-05,167401897.95243055
2014-09-08,166911179.49743056
2014-09-09,165853130.95243058
2014-09-10,166523835.08243054
2014-09-11,166697136.55243054
2014-09-12,165777020.64243054
2014-09-15,165630566.16743052
2014-09-16,166857679.67743054
2014-09-17,167112614.09743056
2014-09-18,168009621.69743055
2014-09-19,168003277.00743055
2014-09-22,166732291.01743054
2014-09-23,165803723.08243057
2014-09-24,167084308.34243053
2014-09-25,164357777.77243057
2014-09-26,165862485.51143053
2014-09-29,165381028.29893056
2014-09-30,165043113.94393057
2014-10-01,162832131.68393058
2014-10-02,162920847.66393057
2014-10-03,164750763.9539306
2014-10-06,164574970.4389306
2014-10-07,162088551.2889306
2014-10-08,165010202.0489306
2014-10-09,161736507.87893057
2014-10-10,159980427.14393055
2014-10-13,157440409.56893057
2014-10-14,157549005.13893056
2014-10-15,156145368.24893057
2014-10-16,155998002.42393056
2014-10-17,158164855.85393056
2014-10-20,159495012.69893056
2014-10-21,162503443.03393057
2014-10-22,161358289.08173054
2014-10-23,163232670.74173054
2014-10-24,164381297.36173055
2014-10-27,164174428.42173055
2014-10-28,166036480.52173057
2014-10-29,165840604.49673057
2014-10-30,166915612.71173054
2014-10-31,168861209.61173055
2014-11-03,168743148.86173058
2014-11-04,168420445.9117306
2014-11-05,169305672.43173057
2014-11-06,169967063.54173055
2014-11-07,170082686.10173056
2014-11-10,170666258.71673054
2014-11-11,170851575.71173057
2014-11-12,170768225.95673054
2014-11-13,171005915.18173054
2014-11-14,171068352.37673056
2014-11-17,171098711.91673055
2014-11-18,171919731.50173056
2014-11-19,171676361.24173057
2014-11-20,171965752.57173058
2014-11-21,172877941.15673056
2014-11-24,173333802.7217306
2014-11-25,173105371.01173055
