Symbol,Year
EXPE,2019
EXPD,2019
EXR,2019
XOM,2019
FFIV,2019
FB,2019
FAST,2019
FRT,2019
FDX,2019
FIS,2019
FITB,2019
FE,2019
FRC,2019
FISV,2019
FLT,2019
FLIR,2019
FLS,2019
FMC,2019
F,2019
FTNT,2019
FTV,2019
FBHS,2019
FOXA,2019
FOX,2019
BEN,2019
FCX,2019
GPS,2019
GRMN,2019
IT,2019
GD,2019
GE,2019
GIS,2019
GM,2019
GPC,2019
GILD,2019
GL,2019
GPN,2019
GS,2019
GWW,2019
HRB,2019
HAL,2019
HBI,2019
HOG,2019
HIG,2019
HAS,2019
HCA,2019
PEAK,2019
HP,2019
HSIC,2019
HSY,2019
HES,2019
HPE,2019
HLT,2019
HFC,2019
HOLX,2019
HD,2019
HON,2019
HRL,2019
HST,2019
HPQ,2019
HUM,2019
HBAN,2019
HII,2019
IEX,2019
IDXX,2019
INFO,2019
ITW,2019
ILMN,2019
IR,2019
INTC,2019
ICE,2019
IBM,2019
INCY,2019
IP,2019
IPG,2019
IFF,2019
INTU,2019
ISRG,2019
IVZ,2019
IPGP,2019
IQV,2019
IRM,2019
JKHY,2019
J,2019
JBHT,2019
SJM,2019
JNJ,2019
JCI,2019
JPM,2019
JNPR,2019
KSU,2019
K,2019
KEY,2019
KEYS,2019
KMB,2019
KIM,2019
KMI,2019
KLAC,2019
KSS,2019
KHC,2019
KR,2019
LB,2019
LHX,2019
LH,2019
LRCX,2019
LW,2019
LVS,2019
LEG,2019
LDOS,2019
LEN,2019
LLY,2019
LNC,2019
LIN,2019
LYV,2019
LKQ,2019
LMT,2019
L,2019
LOW,2019
LYB,2019
MTB,2019
M,2019
MRO,2019
MPC,2019
MKTX,2019
MAR,2019
MMC,2019
MLM,2019
MAS,2019
MA,2019
MKC,2019
MXIM,2019
MCD,2019
MCK,2019
MDT,2019
MRK,2019
MET,2019
MTD,2019
MGM,2019
MCHP,2019
MU,2019
MSFT,2019
MAA,2019
MHK,2019
TAP,2019
MDLZ,2019
MNST,2019
MCO,2019
MS,2019
MOS,2019
MSI,2019
MSCI,2019
MYL,2019
NDAQ,2019
NOV,2019
NTAP,2019
NFLX,2019
NWL,2019
NEM,2019
NWSA,2019
NWS,2019
NEE,2019
NLSN,2019
NKE,2019
NI,2019
NBL,2019
JWN,2019
NSC,2019
NTRS,2019
NOC,2019
NLOK,2019
NCLH,2019
NRG,2019
NUE,2019
NVDA,2019
NVR,2019
ORLY,2019
OXY,2019
ODFL,2019
OMC,2019
OKE,2019
ORCL,2019
PCAR,2019
PKG,2019
PH,2019
PAYX,2019
PYPL,2019
PNR,2019
PBCT,2019
PEP,2019
PKI,2019
PRGO,2019
PFE,2019
PM,2019
PSX,2019
PNW,2019
PXD,2019
PNC,2019
PPG,2019
PPL,2019
PFG,2019
PG,2019
PGR,2019
PLD,2019
PRU,2019
PEG,2019
PSA,2019
PHM,2019
PVH,2019
QRVO,2019
PWR,2019
QCOM,2019
DGX,2019
RL,2019
RJF,2019
RTN,2019
O,2019
REG,2019
REGN,2019
RF,2019
RSG,2019
RMD,2019
RHI,2019
ROK,2019
ROL,2019
ROP,2019
ROST,2019
RCL,2019
SPGI,2019
CRM,2019
SBAC,2019
SLB,2019
STX,2019
SEE,2019
SRE,2019
NOW,2019
SHW,2019
SPG,2019
SWKS,2019
SLG,2019
SNA,2019
SO,2019
LUV,2019
SWK,2019
SBUX,2019
STT,2019
STE,2019
SYK,2019
SIVB,2019
SYF,2019
SNPS,2019
SYY,2019
TMUS,2019
TROW,2019
TTWO,2019
TPR,2019
TGT,2019
TEL,2019
FTI,2019
TFX,2019
TXN,2019
TXT,2019
TMO,2019
TIF,2019
TJX,2019
TSCO,2019
TDG,2019
TRV,2019
TFC,2019
TWTR,2019
TSN,2019
UDR,2019
ULTA,2019
USB,2019
UAA,2019
UA,2019
UNP,2019
UAL,2019
UNH,2019
UPS,2019
URI,2019
UTX,2019
UHS,2019
UNM,2019
VFC,2019
VLO,2019
VAR,2019
VTR,2019
VRSN,2019
VRSK,2019
VZ,2019
VRTX,2019
VIAC,2019
V,2019
VNO,2019
VMC,2019
WRB,2019
WAB,2019
WMT,2019
WBA,2019
DIS,2019
WM,2019
WAT,2019
WEC,2019
WCG,2019
WFC,2019
WELL,2019
WDC,2019
WU,2019
WRK,2019
WY,2019
WHR,2019
WMB,2019
WLTW,2019
WYNN,2019
XEL,2019
XRX,2019
XLNX,2019
XYL,2019
YUM,2019
ZBRA,2019
ZBH,2019
ZION,2019
ZTS,2019
MMM,2018
ABT,2018
ABBV,2018
ABMD,2018
ACN,2018
ATVI,2018
ADBE,2018
AMD,2018
AAP,2018
AES,2018
AMG,2018
AFL,2018
A,2018
APD,2018
AKAM,2018
ALK,2018
ALB,2018
ARE,2018
ALXN,2018
ALGN,2018
ALLE,2018
AGN,2018
ADS,2018
LNT,2018
ALL,2018
GOOGL,2018
GOOG,2018
MO,2018
AMZN,2018
AEE,2018
AAL,2018
AEP,2018
AXP,2018
AIG,2018
AMT,2018
AWK,2018
AMP,2018
ABC,2018
AME,2018
AMGN,2018
APH,2018
APC,2018
ADI,2018
ANSS,2018
ANTM,2018
AON,2018
AOS,2018
APA,2018
AIV,2018
AAPL,2018
AMAT,2018
APTV,2018
ADM,2018
ARNC,2018
ANET,2018
AJG,2018
AIZ,2018
T,2018
ADSK,2018
ADP,2018
AZO,2018
AVB,2018
AVY,2018
BHGE,2018
BLL,2018
BAC,2018
BK,2018
BAX,2018
BBT,2018
BDX,2018
BRK.B,2018
BBY,2018
BIIB,2018
BLK,2018
HRB,2018
BA,2018
BKNG,2018
BWA,2018
BXP,2018
BSX,2018
BHF,2018
BMY,2018
AVGO,2018
BR,2018
BF.B,2018
CHRW,2018
COG,2018
CDNS,2018
CPB,2018
COF,2018
CAH,2018
KMX,2018
CCL,2018
CAT,2018
CBOE,2018
CBRE,2018
CBS,2018
CE,2018
CELG,2018
CNC,2018
CNP,2018
CTL,2018
CERN,2018
CF,2018
SCHW,2018
CHTR,2018
CVX,2018
CMG,2018
CB,2018
CHD,2018
CI,2018
XEC,2018
CINF,2018
CTAS,2018
CSCO,2018
C,2018
CFG,2018
CTXS,2018
CLX,2018
CME,2018
CMS,2018
KO,2018
CTSH,2018
CL,2018
CMCSA,2018
CMA,2018
CAG,2018
CXO,2018
COP,2018
ED,2018
STZ,2018
COO,2018
CPRT,2018
GLW,2018
COST,2018
COTY,2018
CCI,2018
CSX,2018
CMI,2018
CVS,2018
DHI,2018
DHR,2018
DRI,2018
DVA,2018
DE,2018
DAL,2018
XRAY,2018
DVN,2018
FANG,2018
DLR,2018
DFS,2018
DISCA,2018
DISCK,2018
DISH,2018
DG,2018
DLTR,2018
D,2018
DOV,2018
DWDP,2018
DTE,2018
DRE,2018
DUK,2018
DXC,2018
ETFC,2018
EMN,2018
ETN,2018
EBAY,2018
ECL,2018
EIX,2018
EW,2018
EA,2018
EMR,2018
ETR,2018
EOG,2018
EFX,2018
EQIX,2018
EQR,2018
ESS,2018
EL,2018
EVRG,2018
ES,2018
RE,2018
EXC,2018
EXPE,2018
EXPD,2018
EXR,2018
XOM,2018
FFIV,2018
FB,2018
FAST,2018
FRT,2018
FDX,2018
FIS,2018
FITB,2018
FE,2018
FISV,2018
FLT,2018
FLIR,2018
FLS,2018
FLR,2018
FMC,2018
FL,2018
F,2018
FTNT,2018
FTV,2018
FBHS,2018
BEN,2018
FCX,2018
GPS,2018
GRMN,2018
IT,2018
GD,2018
